method,dataset,llm,auc,mean,gt_mean,err_rate,pearsonr
quest_eval,techqa2,llama-3.3-70b-instruct,0.7056,0.6174,0.5284,0.089,0.368
quest_eval,techqa1,qwen-2.5-72b-instruct,0.7342,0.5955,0.844,0.2485,0.3193
quest_eval,techqa1,llama-3.3-70b-instruct,0.7807,0.6639,0.844,0.1801,0.3881
quest_eval,techqa3,llama-3.3-70b-instruct,0.7394,0.6992,0.7092,0.0101,0.4198
quest_eval,techqa3,qwen-2.5-72b-instruct,0.6746,0.635,0.7092,0.0742,0.2885
quest_eval,techqa3,gpt-4o-mini-2024-07-18,0.7205,0.6447,0.7092,0.0645,0.3768
quest_eval,techqa2,qwen-2.5-72b-instruct,0.7481,0.5491,0.5284,0.0207,0.43
quest_eval,techqa2,claude-3.5-haiku-20241022,0.7483,0.6098,0.5284,0.0814,0.4319
quest_eval,techqa2,gpt-4o-mini-2024-07-18,0.6899,0.5656,0.5284,0.0373,0.338
quest_eval,techqa3,claude-3.5-haiku-20241022,0.7287,0.676,0.7092,0.0333,0.4197
quest_eval,techqa1,gpt-4o-mini-2024-07-18,0.7416,0.6112,0.844,0.2328,0.3546
quest_eval,techqa1,claude-3.5-haiku-20241022,0.7368,0.653,0.844,0.1909,0.3337
ragas,techqa2,claude-3.5-haiku-20241022,0.7495,0.3741,0.5284,0.1543,0.4285
ragas,techqa3,llama-3.3-70b-instruct,0.7066,0.3404,0.7092,0.3688,0.3303
ragas,techqa1,llama-3.3-70b-instruct,0.7705,0.321,0.844,0.523,0.324
ragas,techqa3,claude-3.5-haiku-20241022,0.7301,0.4154,0.7092,0.2939,0.3767
ragas,techqa2,llama-3.3-70b-instruct,0.7579,0.3302,0.5284,0.1982,0.4387
ragas,techqa1,claude-3.5-haiku-20241022,0.7548,0.3816,0.844,0.4624,0.3489
ragas,techqa1,gpt-4o-mini-2024-07-18,0.6728,0.3838,0.844,0.4602,0.1934
ragas,techqa3,qwen-2.5-72b-instruct,0.6017,0.4676,0.7092,0.2416,0.1628
ragas,techqa2,gpt-4o-mini-2024-07-18,0.6544,0.375,0.5284,0.1533,0.2531
ragas,techqa1,qwen-2.5-72b-instruct,0.5199,0.4333,0.844,0.4107,0.0146
ragas,techqa2,qwen-2.5-72b-instruct,0.6919,0.4222,0.5284,0.1062,0.3283
ragas,techqa3,gpt-4o-mini-2024-07-18,0.6894,0.3863,0.7092,0.3229,0.273
ref_checker,techqa2,gpt-4o-mini-2024-07-18,0.8309,0.522,0.5284,0.0064,0.5862
ref_checker,techqa1,claude-3.5-haiku-20241022,0.8132,0.8118,0.844,0.0322,0.4826
ref_checker,techqa1,qwen-2.5-72b-instruct,0.7951,0.7069,0.844,0.137,0.4041
ref_checker,techqa3,gpt-4o-mini-2024-07-18,0.8313,0.6302,0.7092,0.079,0.5493
ref_checker,techqa2,llama-3.3-70b-instruct,0.7426,0.6352,0.5284,0.1068,0.4256
ref_checker,techqa1,llama-3.3-70b-instruct,0.8094,0.7554,0.844,0.0885,0.4533
ref_checker,techqa3,qwen-2.5-72b-instruct,0.7894,0.7252,0.7092,0.0159,0.5339
ref_checker,techqa2,qwen-2.5-72b-instruct,0.78,0.5865,0.5284,0.0581,0.5033
ref_checker,techqa3,claude-3.5-haiku-20241022,0.7681,0.8005,0.7092,0.0913,0.5391
ref_checker,techqa3,llama-3.3-70b-instruct,0.7471,0.7402,0.7092,0.031,0.4492
ref_checker,techqa1,gpt-4o-mini-2024-07-18,0.8348,0.6293,0.844,0.2147,0.4627
ref_checker,techqa2,claude-3.5-haiku-20241022,0.7704,0.6795,0.5284,0.1512,0.4956
tseval,techqa2,claude-3.5-haiku-20241022,0.8029,0.5532,0.5284,0.0248,0.6083
tseval,techqa1,gpt-4o-mini-2024-07-18,0.9109,0.7163,0.844,0.1277,0.6616
tseval,techqa2,gpt-4o-mini-2024-07-18,0.897,0.5248,0.5284,0.0035,0.7938
tseval,techqa2,qwen-2.5-72b-instruct,0.8004,0.5355,0.5284,0.0071,0.6013
tseval,techqa1,claude-3.5-haiku-20241022,0.8651,0.6844,0.844,0.1596,0.5701
tseval,techqa3,gpt-4o-mini-2024-07-18,0.8876,0.6596,0.7092,0.0496,0.743
tseval,techqa2,llama-3.3-70b-instruct,0.8237,0.5,0.5284,0.0284,0.6464
tseval,techqa1,qwen-2.5-72b-instruct,0.8234,0.6596,0.844,0.1844,0.4954
tseval,techqa1,llama-3.3-70b-instruct,0.8395,0.5957,0.844,0.2482,0.5021
tseval,techqa3,qwen-2.5-72b-instruct,0.808,0.6809,0.7092,0.0284,0.6002
tseval,techqa3,llama-3.3-70b-instruct,0.7859,0.6738,0.7092,0.0355,0.5538
tseval,techqa3,claude-3.5-haiku-20241022,0.7737,0.6809,0.7092,0.0284,0.5332
