method,dataset,llm,auc,mean,gt_mean,err_rate,pearsonr,time,cost,s
g_eval,techqa3,gpt-4o-mini-2024-07-18,0.812,0.7602,0.7092,0.051,0.5408,8380592.670212766,123.39007092198581,True
g_eval,techqa1,gpt-4o-mini-2024-07-18,0.8154,0.776,0.844,0.068,0.5105,8525742.726950355,131.9787234042553,True
g_eval,techqa2,gpt-4o-mini-2024-07-18,0.8572,0.6592,0.5284,0.1309,0.6187,8330115.407801419,124.43971631205673,True
langchain_evaluation,techqa1,gpt-4o-mini-2024-07-18,0.6772,0.8901,0.844,0.0461,0.4112,9150667.90425532,302.92198581560285,True
langchain_evaluation,techqa2,gpt-4o-mini-2024-07-18,0.6693,0.7128,0.5284,0.1844,0.3736,8675551.627659574,295.98581560283685,True
langchain_evaluation,techqa3,gpt-4o-mini-2024-07-18,0.6127,0.8794,0.7092,0.1702,0.3145,8717957.892857144,296.87857142857143,True
llama_index_evaluation,techqa1,gpt-4o-mini-2024-07-18,0.6706,0.9069,0.844,0.0629,0.3227,2156209.3120567375,132.59574468085106,True
llama_index_evaluation,techqa2,gpt-4o-mini-2024-07-18,0.7837,0.7518,0.5284,0.2234,0.5011,2097155.8156028367,127.39716312056737,True
llama_index_evaluation,techqa3,gpt-4o-mini-2024-07-18,0.7194,0.8697,0.7092,0.1605,0.4499,2016499.2659574468,123.55319148936171,True
quest_eval,techqa2,gpt-4o-mini-2024-07-18,0.7004,0.5636,0.5284,0.0352,0.3546,7446109.5,417.5,True
quest_eval,techqa1,gpt-4o-mini-2024-07-18,0.7699,0.615,0.844,0.229,0.3859,8449029.58302583,385.34317343173433,True
quest_eval,techqa3,gpt-4o-mini-2024-07-18,0.6633,0.6389,0.7092,0.0703,0.2784,8631359.176258992,370.7985611510791,True
ragas,techqa2,gpt-4o-mini-2024-07-18,0.6952,0.3363,0.5284,0.1921,0.3173,27255024.025454547,1042.5163636363636,True
ragas,techqa1,gpt-4o-mini-2024-07-18,0.5167,0.3999,0.844,0.444,-0.013,21613540.21631206,1050.4822695035461,True
ragas,techqa3,gpt-4o-mini-2024-07-18,0.6972,0.4089,0.7092,0.3003,0.3022,21775645.234875444,5005.55871886121,True
ref_checker,techqa3,gpt-4o-mini-2024-07-18,0.8437,0.6385,0.7092,0.0707,0.5844,3852115.0177304964,434.4255319148936,True
ref_checker,techqa2,gpt-4o-mini-2024-07-18,0.824,0.5126,0.5284,0.0158,0.5727,4442229.825454545,442.58181818181816,True
ref_checker,techqa1,gpt-4o-mini-2024-07-18,0.8169,0.6443,0.844,0.1997,0.4422,3892447.4716312056,473.822695035461,True
tseval,techqa1,gpt-4o-mini-2024-07-18,0.9265,0.7199,0.844,0.1241,0.6892,2391305.1843971633,329.8014184397163,True
tseval,techqa3,gpt-4o-mini-2024-07-18,0.8507,0.656,0.7092,0.0532,0.6706,2467700.830935252,300.52517985611513,True
tseval,techqa2,gpt-4o-mini-2024-07-18,0.8682,0.5319,0.5284,0.0035,0.7367,2441173.659574468,299.0496453900709,True
